epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,582.651,0.55536,0.72427,0.9263,0.41181,0.62566,0.46655,0.40099,0.52115,1.26059,0.88904,0.000650909,0.000650909,0.000650909
57,593.83,0.53975,0.69172,0.91585,0.36613,0.61484,0.40673,0.35497,0.48124,1.54187,0.86585,0.000636762,0.000636762,0.000636762
58,605.241,0.53767,0.71361,0.91908,0.41562,0.65818,0.44638,0.3891,0.48475,1.45309,0.8596,0.000622615,0.000622615,0.000622615
59,614.622,0.54756,0.70016,0.92303,0.38167,0.6399,0.41934,0.36506,0.5074,1.45121,0.87975,0.000608468,0.000608468,0.000608468
60,625.81,0.52808,0.66411,0.91993,0.3934,0.5816,0.40151,0.35152,0.50295,1.65393,0.87027,0.000594321,0.000594321,0.000594321
61,637.364,0.52938,0.65512,0.92042,0.39443,0.61516,0.42702,0.37642,0.48015,1.60573,0.86124,0.000580174,0.000580174,0.000580174
62,647.491,0.51935,0.64389,0.91324,0.45579,0.56039,0.43871,0.36951,0.56493,1.51854,0.90264,0.000566027,0.000566027,0.000566027
63,658.155,0.51229,0.65064,0.91517,0.41028,0.56267,0.41692,0.36922,0.46393,1.71395,0.86366,0.00055188,0.00055188,0.00055188
64,667.231,0.53398,0.67001,0.92161,0.38207,0.60136,0.42369,0.37436,0.47549,1.52408,0.85899,0.000537733,0.000537733,0.000537733
65,677.656,0.52167,0.6332,0.9183,0.37643,0.60806,0.40561,0.36067,0.45476,1.63048,0.84956,0.000523586,0.000523586,0.000523586
66,688.223,0.51924,0.65627,0.91809,0.4697,0.60782,0.46322,0.40697,0.50202,1.46876,0.87399,0.000509438,0.000509438,0.000509438
67,696.859,0.50986,0.6246,0.90965,0.34503,0.58689,0.38979,0.32303,0.614,1.40216,0.94274,0.000495291,0.000495291,0.000495291
68,707.508,0.50792,0.6144,0.90629,0.36957,0.63336,0.41767,0.37306,0.44286,1.74051,0.84816,0.000481144,0.000481144,0.000481144
69,718.895,0.50482,0.61152,0.91049,0.36626,0.59237,0.39749,0.35482,0.44599,1.76366,0.85075,0.000466997,0.000466997,0.000466997
70,726.676,0.49662,0.59636,0.90195,0.33709,0.53651,0.36588,0.32595,0.45857,1.87997,0.84978,0.00045285,0.00045285,0.00045285
71,738.218,0.50571,0.59658,0.90451,0.37489,0.5796,0.38528,0.34071,0.46911,1.76148,0.85956,0.000438703,0.000438703,0.000438703
72,749.358,0.49502,0.57082,0.89972,0.34238,0.58712,0.36868,0.32318,0.48356,1.8007,0.87572,0.000424556,0.000424556,0.000424556
73,758.792,0.50881,0.598,0.90889,0.35089,0.57579,0.40438,0.3565,0.46214,1.76008,0.85947,0.000410409,0.000410409,0.000410409
74,770.077,0.49323,0.58314,0.89949,0.35761,0.55514,0.38536,0.34245,0.44903,1.97754,0.85008,0.000396262,0.000396262,0.000396262
75,781.265,0.50144,0.58648,0.90173,0.36382,0.56787,0.39496,0.34923,0.44641,1.82368,0.84918,0.000382115,0.000382115,0.000382115
76,790.739,0.50153,0.57857,0.90762,0.35568,0.55771,0.37818,0.33471,0.44734,1.87043,0.8519,0.000367967,0.000367967,0.000367967
77,801.569,0.48801,0.5603,0.89707,0.3462,0.56026,0.36842,0.33061,0.42581,1.9105,0.841,0.00035382,0.00035382,0.00035382
78,811.84,0.47988,0.54503,0.89773,0.35748,0.55488,0.38416,0.34216,0.42942,1.96406,0.84161,0.000339673,0.000339673,0.000339673
79,821.758,0.49673,0.54167,0.90231,0.36538,0.58114,0.39063,0.35162,0.42685,1.97399,0.84135,0.000325526,0.000325526,0.000325526
80,832.176,0.48999,0.56225,0.89939,0.36873,0.57619,0.3871,0.34836,0.42306,1.89382,0.8384,0.000311379,0.000311379,0.000311379
81,841.569,0.4741,0.5315,0.89323,0.34456,0.49738,0.3637,0.32503,0.43161,2.05275,0.84543,0.000297232,0.000297232,0.000297232
82,852.542,0.48041,0.53649,0.9019,0.34372,0.52179,0.35436,0.31778,0.4214,2.04533,0.83854,0.000283085,0.000283085,0.000283085
83,863.577,0.47194,0.51529,0.89362,0.3488,0.54113,0.37351,0.3339,0.44147,1.96629,0.845,0.000268938,0.000268938,0.000268938
84,871.414,0.47932,0.51896,0.90037,0.34577,0.53535,0.36115,0.32713,0.42554,2.01918,0.83923,0.000254791,0.000254791,0.000254791
85,882.46,0.46814,0.50694,0.89212,0.35243,0.52563,0.35757,0.32358,0.41693,2.0942,0.84067,0.000240644,0.000240644,0.000240644
86,893.73,0.4653,0.49978,0.89274,0.32918,0.46675,0.33767,0.30886,0.4113,2.17526,0.83764,0.000226497,0.000226497,0.000226497
87,901.38,0.46484,0.49245,0.89596,0.33867,0.49309,0.35581,0.32269,0.41028,2.04977,0.83874,0.000212349,0.000212349,0.000212349
88,912.816,0.45755,0.49489,0.89265,0.34957,0.49844,0.35914,0.32404,0.41444,2.15042,0.8388,0.000198202,0.000198202,0.000198202
89,924.177,0.45416,0.48077,0.88664,0.34776,0.51236,0.37385,0.33813,0.40928,2.13018,0.83735,0.000184055,0.000184055,0.000184055
90,933.837,0.46322,0.48783,0.89177,0.31973,0.43526,0.33252,0.30298,0.41079,2.2973,0.8361,0.000169908,0.000169908,0.000169908
91,945.9,0.43437,0.3938,0.85575,0.32104,0.43098,0.32192,0.29528,0.40789,2.29264,0.83575,0.000155761,0.000155761,0.000155761
92,956.956,0.42536,0.37616,0.84624,0.32905,0.43848,0.32732,0.29546,0.43158,2.1436,0.83865,0.000141614,0.000141614,0.000141614
93,966.663,0.41811,0.35162,0.84588,0.32182,0.4309,0.31531,0.28915,0.40099,2.37941,0.83127,0.000127467,0.000127467,0.000127467
94,978.026,0.41691,0.35364,0.84724,0.32307,0.41277,0.32427,0.2962,0.40294,2.37721,0.83232,0.00011332,0.00011332,0.00011332
95,986.507,0.41107,0.3377,0.83976,0.31277,0.40504,0.31196,0.28679,0.40004,2.42502,0.83329,9.91726e-05,9.91726e-05,9.91726e-05
96,997.242,0.41053,0.33305,0.83848,0.33649,0.42548,0.33399,0.30479,0.40117,2.39085,0.83159,8.50255e-05,8.50255e-05,8.50255e-05
97,1007.86,0.40353,0.32602,0.83148,0.33751,0.43132,0.33404,0.30475,0.39659,2.37565,0.83406,7.08784e-05,7.08784e-05,7.08784e-05
98,1016.27,0.39932,0.33328,0.83597,0.33601,0.42389,0.33785,0.30841,0.40063,2.33853,0.83421,5.67313e-05,5.67313e-05,5.67313e-05
99,1026.74,0.39748,0.31494,0.83583,0.33899,0.42721,0.33395,0.304,0.39896,2.36863,0.83307,4.25842e-05,4.25842e-05,4.25842e-05
100,1037.86,0.39578,0.31626,0.83234,0.33781,0.42521,0.32714,0.29816,0.39377,2.39279,0.8321,2.84371e-05,2.84371e-05,2.84371e-05
